id_dp,id_wh,nama,lat,lon,volume_m3,jam_buka,jam_tutup
DP-01,WH-02,Kujang Kopi,-7.1592,111.9095,104,7:00,16:30
DP-02,WH-02,Taman Bunga Melati,-7.1588,111.9277,86,7:00,16:00
DP-03,WH-02,Kopi Balsem,-7.1443,111.8764,191,8:30,17:00
DP-04,WH-02,Sate Daging Rusa,-7.1855,111.8653,138,8:00,16:30
DP-05,WH-02,Warkop Tepi Jalan,-7.2031,111.8894,226,8:00,16:30
DP-06,WH-02,RM Bunga Melati,-7.1347,111.9243,82,8:00,17:30
DP-07,WH-02,Bakso Mercon,-7.1925,111.8987,146,8:00,17:00
DP-08,WH-02,Warung Tuperwer,-7.1848,111.9131,160,7:30,17:30
DP-09,WH-02,Warung Bawah Pohon,-7.153,111.8721,124,7:30,16:30
DP-10,WH-02,Warung Gelas,-7.1322,111.8941,99,7:30,16:30
DP-11,WH-02,Pecel Tukang Pecel,-7.1718,111.8684,147,7:30,16:30
DP-12,WH-02,Pecel Ayam bukan Lamongan,-7.124,111.9367,192,7:00,16:30
DP-13,WH-02,Jus Buah Pait,-7.1034,111.9167,78,7:00,17:30
DP-14,WH-02,Sepeda Jengki Kakek,-7.1049,111.8605,75,8:00,17:00
DP-15,WH-01,Ban Sepeda Rusak,-7.1733,111.9993,228,8:00,17:30
DP-16,WH-01,Lontong Tahu Pahit,-7.189,111.9858,136,7:30,16:00
DP-17,WH-01,Ponpes Al Il Ul,-7.2207,112.0181,93,7:30,16:30
DP-18,WH-01,Mie Burung Gereja,-7.1349,112.0414,105,7:00,16:00
DP-19,WH-01,WR Tegal tapi di Jatim,-7.2277,111.9953,180,8:30,17:00
DP-20,WH-01,Bakso Tumpah,-7.2008,112.0452,99,7:30,17:00
DP-21,WH-01,PD Tisu Tebal,-7.1551,112.0588,142,8:30,16:30
DP-22,WH-01,Gua Kompor,-7.0646,112.0016,202,8:00,17:00
DP-23,WH-01,Teras Terus,-7.0881,111.9684,116,7:00,16:30
DP-24,WH-01,Ponpes Lohelohe,-7.1171,112.0276,186,8:30,16:30
DP-25,WH-01,Gajah Terbang,-7.1235,112.0988,206,7:30,16:30
DP-26,WH-03,Rini Bukan Istri,-6.8999,112.07,94,8:30,16:30
DP-27,WH-03,Mantep Jaya Bakeri,-6.901,112.0044,130,8:30,16:00
DP-28,WH-03,Warkop Hatta,-6.8837,112.0183,200,7:00,17:00
DP-29,WH-03,Jajan 10 Ribu,-6.8556,112.0212,210,7:30,16:30
DP-30,WH-03,Warung Kebakaran,-6.8813,112.0402,206,7:00,16:00
DP-31,WH-03,Tk. Ciki ciki,-6.8966,112.0894,179,8:30,17:30
DP-32,WH-03,Univ Selamet Terus,-6.9162,112.0901,103,8:30,16:00
DP-33,WH-03,Warung Lalapo,-6.9384,112.0991,160,7:30,16:00
DP-34,WH-03,Perum tapi ga Harum,-6.9173,112.0742,205,7:00,16:00
DP-35,WH-03,Warkop Mbak Jongkok,-6.9137,112.0409,227,7:00,16:30
DP-36,WH-03,Pecel gak Juara,-6.9001,112.0667,206,7:30,17:30
DP-37,WH-03,Pemandian Air Asin,-6.9337,112.0607,111,8:30,16:00
DP-38,WH-03,Area Terlarang,-6.9002,112.0189,153,8:00,16:00
DP-39,WH-01,SBJ Tea,-7.1779,112.0596,126,7:30,16:00
DP-40,WH-01,Pecel Lele Pak Kumis,-7.1543,112.0161,139,7:00,17:30
DP-41,WH-03,Jasuke tapi Pedes,-6.9101,112.064,62,8:00,16:30
DP-42,WH-03,Kwaci Sunan Bonang,-6.9031,112.0936,90,8:30,16:00
DP-43,WH-03,JBL Sound System,-6.8977,112.0955,78,7:30,16:00
DP-44,WH-04,Tk Buah Lamong,-7.0078,112.3278,64,7:00,16:00
DP-45,WH-04,Pupuk Jaya LA,-6.9705,112.3798,85,8:00,16:30
DP-46,WH-04,Lamongan Maju Lanc,-7.0139,112.4258,133,8:30,17:00
DP-47,WH-04,Menongo Kopi,-7.1082,112.3283,183,7:30,16:00
DP-48,WH-04,Plumpang Lamong,-7.1061,112.3463,97,8:00,17:30
DP-49,WH-04,Eatery Budi,-7.0592,112.2974,149,7:00,17:00
DP-50,WH-04,New Up Level,-7.0997,112.2759,98,7:30,16:00
DP-51,WH-04,Karanggeneng Farm,-6.9875,112.3733,111,7:30,16:30
DP-52,WH-04,City Farm,-7.1213,112.395,134,8:00,16:30
DP-53,WH-04,Kusuma Bangsa,-7.1138,112.4096,211,8:00,16:00
DP-54,WH-04,Nanas Kelud,-7.129,112.4139,83,8:00,17:30
DP-55,WH-04,Kalikapas 1,-7.1355,112.4132,97,8:30,17:30
DP-56,WH-04,Kalikapas 2,-7.1417,112.4035,76,7:30,16:00
DP-57,WH-04,Veteran Army,-7.1211,112.4225,154,7:00,17:30
DP-58,WH-02,Purwo Metal,-7.1752,111.6632,170,8:30,19:00
DP-59,WH-03,Jenu Bersholawat,-6.8113,111.9821,780,8:00,17:00
DP-60,WH-01,Sugeh Waras,-7.2998,112.0132,725,8:00,17:00
DP-61,WH-04,Waduk Teras,-7.2017,112.2831,500,8:00,17:00
